		huidige situatie (2010)					verandering			situatie na realiseren kansen							
ID		# (000)	onder 	boven	€		? #	? €/stuk		# (000)	onder 	boven		€	? €	? € na TW corr	
1a	14	177.4772692	139.3277016	179.1356163	28260		0.1	0.01		195.2249961	140.7209786	179.1356163	17.74772692	31222.00125	2962.00125	2962.00125	1
	Reparatie																
																	
1b	14	1183.181795	252.4925841	398.0791474	384872.3144		-0.015	0		1165.434068	252.4925841	398.0791474	-17.74772692	379099.2297	-5773.084716	0	1
	Nieuwwaarde																
																	
2a	1-18	4.32850167	0	1	2.164250835		0.03	0		4.45835672	0	1	0.12985505	2.22917836	0.064927525	0.064927525	2
	Hergebruik	4.32850167	0	1	2.164250835		0.03	0		4.45835672	0	1	0.12985505	2.22917836	0.064927525	0.064927525	2
		512.0617476	8.915680473	22.27071006	7984.678819		0.03	0		527.4236	8.915680473	22.27071006	15.36185243	8224.219183	239.5403646	239.5403646	2
		105.1825906	20	55	3944.347147		0.03	0		108.3380683	20	55	3.155477718	4062.677561	118.3304144	118.3304144	2
		399.5207042	20	30	9988.017604		0.03	0		411.5063253	20	30	11.98562113	10287.65813	299.6405281	299.6405281	2
		2739.508707	35	60	130126.6636		0.03	0		2821.693968	35	60	82.18526121	134030.4635	3903.799908	3903.799908	2
		525.4801028	14.35415237	14.75188744	7647.322395		0.03	0		541.2445059	14.35415237	14.75188744	15.76440308	7876.742067	229.4196718	229.4196718	2
		2052.142642	64.96625185	133.196583	203329.2017		0.03	0		2113.706921	64.96625185	133.196583	61.56427926	209429.0778	6099.876051	6099.876051	2
		682.1718632	70	100	57984.60838		0.03	0		702.6370191	70	100	20.4651559	59724.14663	1739.538251	1739.538251	2
		4.32850167	1	2	6.492752505		0.03	0		4.45835672	1	2	0.12985505	6.687535081	0.194782575	0.194782575	2
		639.3196967	15	25	12786.39393		0.03	0		658.4992876	15	25	19.1795909	13169.98575	383.591818	383.591818	2
		106.0482909	40	80	6362.897455		0.03	0		109.2297396	40	80	3.181448728	6553.784379	190.8869237	190.8869237	2
		52.80772038	12	160	4541.463952		0.03	0		54.39195199	12	160	1.584231611	4677.707871	136.2439186	136.2439186	2
		1025.422046	18.21021528	199.7720557	111761.9131		0.03	0		1056.184707	18.21021528	199.7720557	30.76266137	115114.7705	3352.857394	3352.857394	2
		733.2481829	84.62092131	328.6372361	151510.3965		0.03	0		755.2456284	84.62092131	328.6372361	21.99744549	156055.7084	4545.311895	4545.311895	2
		77.4801799	17.29050279	245.8100559	10192.53931		0.03	0		79.8045853	17.29050279	245.8100559	2.324405397	10498.31549	305.7761792	305.7761792	2
		3209.151138	36.3115727	627.8560831	1065707.194		0.03	0		3305.425673	36.3115727	627.8560831	96.27453415	1097678.41	31971.21583	31971.21583	2
																	
2b	1-18	52539.5599	6.234938267	12.14323076	482790.4563		-2.47157E-06	0		52539.43005	6.234938267	12.14323076	-0.12985505	482789.263	-1.19324903	0	2
	Nieuwwaarde	2226	40	62	113526		-5.83356E-05	0		2225.870145	40	62	-0.12985505	113519.3774	-6.622607556	0	2
		1272.54535	40.67107964	75.4393547	73877.89663		-0.012071752	0		1257.183497	40.67107964	75.4393547	-15.36185243	72986.06095	-891.8356789	0	2
		9627.10166	64.5701586	122.0512717	898311.7405		-0.00032777	0		9623.946182	64.5701586	122.0512717	-3.155477718	898017.3007	-294.4398824	0	2
		808.6567823	72.01582727	127.3717135	80618.04358		-0.014821642	0		796.6711611	72.01582727	127.3717135	-11.98562113	79423.15182	-1194.89176	0	2
		16509.99843	92.59572405	175.4088598	2212377.63		-0.004977908	0		16427.81317	92.59572405	175.4088598	-82.18526121	2201364.616	-11013.01336	0	2
		730.4208092	125.9297118	208.0992191	121990.841		-0.021582631	0		714.6564061	125.9297118	208.0992191	-15.76440308	119357.9577	-2632.883354	0	2
		3806.149234	140.5002666	216.7545068	679882.491		-0.016174951	0		3744.584955	140.5002666	216.7545068	-61.56427926	668885.4247	-10997.06632	0	2
		774.5905374	125.9507407	224.6348123	135780.126		-0.026420612	0		754.1253815	125.9507407	224.6348123	-20.4651559	132192.732	-3587.393999	0	2
		3149.944205	132.310867	233.9723982	576885.9244		-4.12246E-05	0		3149.81435	132.310867	233.9723982	-0.12985505	576862.1426	-23.78186588	0	2
		18610.50956	163.2203669	288.3854407	4202307.1		-0.001030578	0		18591.32997	163.2203669	288.3854407	-19.1795909	4197976.292	-4330.807319	0	2
		4547.74925	188.6321936	311.5827022	1137425.959		-0.000699566	0		4544.567801	188.6321936	311.5827022	-3.181448728	1136630.255	-795.7040219	0	2
		921.9920819	210.6913221	327.5516199	248127.8654		-0.00171827	0		920.4078503	210.6913221	327.5516199	-1.584231611	247701.5146	-426.3507417	0	2
		1183.181795	252.4925841	398.0791474	384872.3144		-0.025999945	0		1152.419133	252.4925841	398.0791474	-30.76266137	374865.6555	-10006.65894	0	2
		1192.843387	217.4564989	403.2381831	370195.7733		-0.018441185	0		1170.845941	217.4564989	403.2381831	-21.99744549	363368.9246	-6826.848717	0	2
		692.8919129	474.3571336	800.9907313	441839.1108		-0.003354644	0		690.5675075	474.3571336	800.9907313	-2.324405397	440356.8981	-1482.21273	0	2
		4233.984381	777.3110416	1265.238489	4324061.405		-0.022738519	0		4137.709847	777.3110416	1265.238489	-96.27453415	4225738.652	-98322.75225	0	2
																	
3	1-18	52539.5599	6.234938267	12.14323076	482790.4563		0.01	-0.02		52539.5599	6.110239502	11.90036615	0	473134.6472	-9655.809126	0	1
	Nieuwwaarde	2226	40	62	113526		0.01	-0.02		2226	39.2	60.76	0	111255.48	-2270.52	0	1
		1272.54535	40.67107964	75.4393547	73877.89663		0.01	-0.02		1272.54535	39.85765805	73.93056761	0	72400.3387	-1477.557933	0	1
		9627.10166	64.5701586	122.0512717	898311.7405		0.01	-0.02		9627.10166	63.27875543	119.6102462	0	880345.5057	-17966.23481	0	1
		808.6567823	72.01582727	127.3717135	80618.04358		0.01	-0.02		808.6567823	70.57551073	124.8242792	0	79005.68271	-1612.360872	0	1
		16509.99843	92.59572405	175.4088598	2212377.63		0.01	-0.02		16509.99843	90.74380957	171.9006826	0	2168130.077	-44247.55259	0	1
		730.4208092	125.9297118	208.0992191	121990.841		0.01	-0.02		730.4208092	123.4111176	203.9372347	0	119551.0242	-2439.81682	0	1
		3806.149234	140.5002666	216.7545068	679882.491		0.01	-0.02		3806.149234	137.6902613	212.4194167	0	666284.8412	-13597.64982	0	1
		774.5905374	125.9507407	224.6348123	135780.126		0.01	-0.02		774.5905374	123.4317259	220.1421161	0	133064.5234	-2715.602519	0	1
		3149.944205	132.310867	233.9723982	576885.9244		0.01	-0.02		3149.944205	129.6646497	229.2929503	0	565348.2059	-11537.71849	0	1
