Input-outputtabel 2010 in werklijke prijzen (mln euro)																																																																																												
		Landbouw	Bosbouw	Visserij	Winning van aardolie en aardgas	Delfstoffenwinning (geen olie en gas)	Voedingsmiddelenindustrie	Drankenindustrie	Tabaksindustrie	Textiel-, kleding-, lederindustrie	Houtindustrie	Papierindustrie	Grafische industrie	Aardolie-industrie	Chemische industrie	Farmaceutische industrie	Rubber- en kunststofproductindustrie	Bouwmaterialenindustrie	Basismetaalindustrie	Metaalproductenindustrie	Elektrotechnische industrie	Elektrische apparatenindustrie	Machine-industrie	Auto- en aanhangwagenindustrie	Overige transportmiddelenindustrie	Meubelindustrie	Overige industrie	Reparatie en installatie van machines	Energiebedrijven	Waterleidingbedrijven	Riolering, afvalbeheer en sanering	Algemene bouw en projectontwikkeling	Grond-, water-  en wegenbouw	Gespecialiseerde bouw	Autohandel en -reparatie	Groothandel en handelsbemiddeling	Detailhandel (niet in auto's)	Vervoer over land	Vervoer over water	Vervoer door de lucht	Opslag, dienstverlening voor vervoer	Post en koeriers	Logiesverstrekking	Restaurants en cafés	Uitgeverijen	Film, TV en radio	Telecommunicatie	IT-dienstverlening	Diensten op het gebied van informatie	Bankwezen	Verzekeraars en pensioenfondsen	Overige financiële dienstverlening	Verhuur en handel van onroerend goed	Juridische diensten en administratie	Holdings en managementadviesbureaus	Architecten-, ingenieursbureaus e.d.	Research	Reclamewezen en marktonderzoek	Design, fotografie, vertaalbureaus	Veterinaire dienstverlening	Verhuur van roerende goederen	Uitzendbureaus en arbeidsbemiddeling	Reisbureaus, reisorganisatie en -info	Beveiligings- en opsporingsdiensten	Schoonmaakbedrijven, hoveniers e.d.	Overige zakelijke dienstverlening	Openbaar bestuur en overheidsdiensten	Onderwijs	Gezondheidszorg	Verzorging en welzijn	Kunst, cultuur en kansspelen	Sport en recreatie	Ideële, belangen-, hobbyverenigingen	Reparatie van consumentenartikelen	Overige persoonlijke dienstverlening	Huishoudens met personeel	Goederen en diensten n.e.g.	Totaal kolommen 1-76	Uitvoer goederen	Uitvoer diensten	Consumptieve bestedingen door huishoudens	Consumptieve bestedingen IZW huishoudens	Sociale uitkeringen in natura	Individualiseerbaar bestedingen van de overheid	Collectieve consumptie door overheid	Bruto investeringen vaste activa	Verandering in voorraden inclusief kostbaarheden	Handels- en vervoersmarges	Afgedragen minus toegerekende BTW	Cif/fob-correctie en herclassificatie	Cif/fob-herclassificatie	Totaal
		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91
1	Landbouw	4446	1	1	3	1	8162	21	16	32	1	6	3	25	33	7	36	4	16	6	2	3	3	2	0	1	2	1	1	3	10	9	26	60	9	175	35	106	10	24	64	0	21	69	1	1	6	1	0	3	1	0	22	1	14	1	5	0	1	0	2	1	1	0	73	2	159	19	41	78	20	19	4	0	15	0	29	13976	10684	241	1582	0	51	0	0	383	80	185	0			27182
2	Bosbouw	0	7	0	0	0	0	0	0	0	23	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	42	85	0	5	0	0	0	108	0	0	0	0			240
3	Visserij	0	0	4	0	0	53	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	15	0	0	0	0	2	0	0	86	417	2	27	0	0	0	0	0	-1	0	0			531
4	Winning van aardolie en aardgas	738	0	0	476	3	223	21	3	8	3	92	5	650	913	18	20	123	90	12	2	0	11	4	5	15	15	12	1158	1	14	14	10	23	27	185	104	57	1	0	36	3	52	111	1	1	8	3	0	25	14	8	145	19	22	16	14	11	10	1	7	9	4	1	7	6	125	129	73	113	41	51	60	3	39	0	0	6224	9629	1759	2261	0	12	0	0	107	3	200	0			20195
5	Delfstoffenwinning (geen olie en gas)	10	0	0	1	62	0	0	0	0	0	0	0	0	41	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	35	79	36	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	23	399	139	39	4	0	0	0	0	0	5	65	0			651
6	Voedingsmiddelenindustrie	3264	0	15	0	0	6687	152	0	3	0	31	2	25	130	342	13	0	0	4	1	2	3	1	2	0	2	1	6	0	29	4	3	15	2	324	6	3	0	2	2	0	193	983	0	3	0	3	0	5	2	2	2	1	32	3	5	1	0	0	0	4	0	1	5	0	105	30	224	644	75	105	0	0	49	0	56	13609	21781	1499	8402	0	0	0	0	262	122	968	0			46643
7	Drankenindustrie	2	0	0	0	0	43	90	0	0	0	0	1	0	7	1	2	0	0	2	2	2	0	1	1	0	1	1	0	0	0	2	2	1	2	13	5	1	1	1	2	1	23	362	0	1	1	2	0	5	3	1	0	2	7	1	1	0	0	0	0	5	0	0	8	0	15	14	7	31	17	255	3	0	1	0	24	976	2138	129	592	0	0	0	0	6	2	123	0			3966
8	Tabaksindustrie	12	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	1660	265	217	0	0	0	0	14	-27	136	0			2281
9	Textiel-, kleding-, lederindustrie	5	0	1	1	0	3	7	0	366	0	5	8	0	9	4	22	10	0	3	0	3	11	6	3	21	8	4	0	0	14	9	10	9	4	63	5	3	1	0	6	0	3	2	1	3	3	0	0	4	1	0	0	1	2	0	0	1	0	0	0	0	0	17	17	0	12	1	13	6	4	0	1	1	8	0	21	746	1493	43	564	0	0	0	0	152	25	135	0			3158
10	Houtindustrie	35	7	0	1	1	33	38	1	1	140	12	4	1	29	12	9	21	0	62	4	2	10	0	8	0	10	1	3	1	4	738	24	131	0	24	3	1	1	0	5	0	8	14	2	1	0	0	1	0	0	0	173	1	6	1	5	1	1	0	1	1	0	0	2	47	26	3	1	0	0	1	0	0	46	0	34	1753	408	29	78	0	0	0	0	169	66	78	0			2581
11	Papierindustrie	12	1	4	3	2	445	129	8	9	3	884	87	4	44	42	53	21	11	31	43	2	57	1	7	12	20	14	2	3	4	7	1	10	4	53	52	9	4	0	13	0	6	20	22	7	1	10	2	16	7	7	14	7	15	9	3	9	10	1	4	4	3	2	31	133	77	33	141	91	12	4	12	8	5	0	17	2854	2307	38	429	0	0	0	0	15	57	71	0			5771
12	Grafische industrie	9	0	1	2	1	118	64	8	15	5	25	237	6	30	7	13	8	7	24	50	13	33	12	8	5	10	13	19	2	10	30	10	39	131	316	162	25	11	5	11	4	30	45	851	25	52	73	9	189	47	37	40	40	137	24	20	181	23	2	48	43	49	3	9	28	177	78	56	75	41	7	11	0	12	0	4	3965	401	43	136	0	0	0	0	60	49	80	0			4734
13	Aardolie-industrie	297	1	42	41	2	17	4	0	1	1	4	2	894	1687	9	4	7	35	8	1	8	8	4	6	3	5	5	4	1	24	35	139	118	22	128	28	77	352	737	59	4	1	6	1	0	2	4	1	5	2	2	7	1	8	4	2	1	2	2	54	1	2	0	9	0	35	47	7	4	6	11	7	1	8	0	0	5067	17854	428	2688	0	0	0	0	61	-107	361	0			26352
14	Chemische industrie	197	0	1	6	5	92	19	39	144	9	225	45	278	8107	50	1063	95	29	48	26	39	29	18	12	120	62	4	8	28	24	71	74	153	18	340	6	1	1	2	0	0	5	6	4	8	0	7	0	3	0	0	65	1	19	3	73	1	8	0	0	0	0	0	20	1	53	39	36	11	10	6	1	3	10	0	10	11891	24114	2096	214	0	0	0	0	440	-130	842	0			39467
15	Farmaceutische industrie	26	0	0	0	0	8	1	4	1	0	1	1	1	35	129	2	0	0	0	0	0	0	1	0	1	8	0	0	0	0	0	1	3	0	24	15	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	6	0	7	0	1	2	0	0	0	0	2	0	0	0	136	7	0	0	0	0	2	0	3	430	3025	426	89	0	770	0	0	154	19	828	0			5741
16	Rubber- en kunststofproductindustrie	46	0	0	1	0	269	39	11	14	54	44	11	5	110	20	265	90	4	67	13	20	87	115	34	47	37	14	3	1	1	151	65	389	9	46	16	10	0	0	3	0	4	3	7	4	1	4	0	8	12	7	86	3	15	1	4	2	8	0	0	1	1	1	7	6	6	7	17	29	4	3	2	12	5	0	15	2396	3821	73	112	0	0	0	0	232	67	158	0			6859
17	Bouwmaterialenindustrie	5	0	0	0	0	67	74	1	0	2	0	0	0	13	7	4	286	10	6	6	9	3	3	2	2	17	3	9	0	6	1723	601	626	12	23	0	2	0	0	0	0	2	9	0	4	0	0	0	2	5	1	111	0	3	2	3	0	0	0	0	0	0	0	10	0	44	16	15	2	10	11	0	0	10	0	103	3885	1028	39	42	0	0	0	0	98	59	277	0			5428
